timestamp,model_id,task,dataset_split,dataset_size,seq_len,batch_size,dtype,method,rank,budget,scope,backend,seed,calib_dataset,calib_split,calib_samples,calib_batches,calib_seed,calib_seq_len,metric_name,metric_value,latency_ms,throughput_sps,peak_mem_mb,param_ratio,notes,git_commit
2026-02-09T15:01:38,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.3,qkv+ffn,naive,0,sst2,train,128,4,0,128,accuracy,0.895089,205.91,155.4,1175.7,0.6656,AdaSVD refactored budget=0.3 backend=naive,886d557
2026-02-09T15:03:42,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.4,qkv+ffn,naive,0,sst2,train,128,4,0,128,accuracy,0.893973,215.02,148.8,1178.1,0.6657,AdaSVD refactored budget=0.4 backend=naive,886d557
2026-02-09T15:05:45,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.5,qkv+ffn,naive,0,sst2,train,128,4,0,128,accuracy,0.893973,210.35,152.1,1178.1,0.6655,AdaSVD refactored budget=0.5 backend=naive,886d557
2026-02-09T15:07:46,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.6,qkv+ffn,naive,0,sst2,train,128,4,0,128,accuracy,0.895089,207.24,154.4,1175.7,0.6656,AdaSVD refactored budget=0.6 backend=naive,886d557
2026-02-09T15:09:35,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.7,qkv+ffn,naive,0,sst2,train,128,4,0,128,accuracy,0.896205,212.02,150.9,1178.1,0.6721,AdaSVD refactored budget=0.7 backend=naive,886d557
2026-02-09T15:11:59,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.3,qkv+ffn,flashsvd,0,sst2,train,128,4,0,128,accuracy,0.895089,431.72,74.1,1103.4,0.6656,AdaSVD refactored budget=0.3 backend=flashsvd,886d557
2026-02-09T15:14:18,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.4,qkv+ffn,flashsvd,0,sst2,train,128,4,0,128,accuracy,0.893973,433.02,73.9,1103.6,0.6657,AdaSVD refactored budget=0.4 backend=flashsvd,886d557
2026-02-09T15:16:37,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.5,qkv+ffn,flashsvd,0,sst2,train,128,4,0,128,accuracy,0.893973,430.25,74.4,1103.6,0.6655,AdaSVD refactored budget=0.5 backend=flashsvd,886d557
2026-02-09T15:18:57,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.6,qkv+ffn,flashsvd,0,sst2,train,128,4,0,128,accuracy,0.895089,436.25,73.4,1103.4,0.6656,AdaSVD refactored budget=0.6 backend=flashsvd,886d557
2026-02-09T15:21:25,textattack/bert-base-uncased-SST-2,sst2,validation,872,128,32,fp16,adasvd,,0.7,qkv+ffn,flashsvd,0,sst2,train,128,4,0,128,accuracy,0.896205,496.01,64.5,1103.6,0.6721,AdaSVD refactored budget=0.7 backend=flashsvd,886d557
